Country,Year,Past 12 months,Definition,Interpretation,Link
Namibia,2015,,n/a,n/a,https://data.unodc.org/#state:23
Costa Rica,2015,0.5,,,
Costa Rica,2015,0.2,,,
Honduras,2015,3.4,,,
United States of America,2015,1.8,,,
United States of America,2015,0.7,,,
Chile,2015,5,,,
Chile,2015,3.8,,,
Chile,2015,2.6,,,
Georgia,2015,,,,
Georgia,2015,,,,
"China, Hong Kong SAR",2015,,,,
Moldova (Republic of),2015,,,,
Moldova (Republic of),2015,,,,
Ukraine,2015,0,,,
Albania,2015,,,,
Albania,2015,,,,
Bulgaria,2015,,,,
Bulgaria,2015,,,,
Croatia,2015,,,,
Croatia,2015,,,,
Macedonia (TFYR),2015,,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,2.5,,,
Montenegro,2015,1.6,,,
Romania,2015,,,,
Romania,2015,,,,
Romania,2015,,,,
Austria,2015,,,,
Austria,2015,,,,
Belgium,2015,,,,
Belgium,2015,,,,
Cyprus,2015,,,,
Cyprus,2015,,,,
Czechia,2015,,,,
Czechia,2015,,,,
Denmark,2015,,,,
Estonia,2015,,,,
Faeroe Islands,2015,,,,
Faeroe Islands,2015,,,,
Finland,2015,,,,
France,2015,,,,
France,2015,,,,
Greece,2015,1.1,,,
Greece,2015,0.8,,,
Hungary,2015,1.9,,,
Hungary,2015,0.9,,,
Iceland,2015,,,,
Iceland,2015,,,,
Ireland,2015,,,,
Ireland,2015,,,,
Italy,2015,2.5,,,
Italy,2015,2.2,,,
Italy,2015,1.1,,,
Latvia,2015,2.3,,,
Latvia,2015,,,,
Liechtenstein,2015,,,,
Liechtenstein,2015,,,,
Lithuania,2015,1.3,,,
Lithuania,2015,0.6,,,
Malta,2015,,,,
Malta,2015,,,,
Monaco,2015,,,,
Monaco,2015,,,,
Netherlands,2015,,,,
Netherlands,2015,,,,
Norway,2015,,,,
Norway,2015,,,,
Poland,2015,,,,
Poland,2015,,,,
Portugal,2015,,,,
Portugal,2015,,,,
Slovakia,2015,1.1,,,
Slovenia,2015,,,,
Slovenia,2015,,,,
Sweden,2015,,,,
Sweden,2015,,,,
United Kingdom (Scotland),2015,,,,
Belgium,2014/2014,0.6,,,
Canada,2014/15,1.9,,,
Haiti,2014,1.7,,,
Honduras,2014,3.2,,,
Mexico,2014,1.7,,,
Mexico,2014,,,,
United States of America,2014,1.9,,,
United States of America,2014,0.5,,,
Argentina,2014,,,,
Argentina,2014,2.1,,,
Argentina,2014,0.9,,,
Paraguay,2014,1.7,,,
Paraguay,2014,0.6,,,
Uruguay,2014,2.3,,,
Uruguay,2014,2.1,,,
Uruguay,2014,,,,
Uruguay,2014,0.5,,,
Venezuela (Bolivarian Republic of),2014,,,,
Venezuela (Bolivarian Republic of),2014,0.3,,,
Georgia,2014,1.6,,,
Georgia,2014,0.4,,,
"China, Hong Kong SAR",2014,0.03,,,
England,2014,2,,,
England,2014,2,,,
England,2014,0.2,,,
France,2014,1.6,,,
France,2014,0.4,,,
Germany,2014,,,,
Germany,2014,,,,
Italy,2014,2.5,,,
Italy,2014,1.3,,,
Spain,2014,2.8,,,
Spain,2014,1.8,,,
Spain,2014,2.1,,,
Sweden,2014,,,,
Sweden,2014,,,,
Switzerland,2014,,,,
Switzerland,2014,,,,
Belgium,2013/2014,0.7,,,
Morocco,2013,,,,
Morocco,2013,,,,
Antigua and Barbuda,2013,1.9,,,
Antigua and Barbuda,2013,1.7,,,
Barbados,2013,1.7,,,
Grenada,2013,2.2,,,
Jamaica,2013,1.1,,,
Saint Kitts and Nevis,2013,1.8,,,
Saint Kitts and Nevis,2013,2.1,,,
Saint Lucia,2013,1.8,,,
Saint Lucia,2013,1.6,,,
