Country,Year,Number,Definition,Interpretation,Link
Andorra,2015,0,n/a,n/a,https://data.unodc.org/#state:32
Bulgaria,2015,,,,
Croatia,2015,,,,
Slovakia,2015,,,,
Sweden,2015,,,,
Colombia,2015,12.4,,,
Kenya,2015,0.39,,,
Lebanon,2015,,,,
"China, Macao SAR",2015,,,,
Sri Lanka,2015,,,,
Croatia,2014,,,,
Italy,2014,,,,
Latvia,2014,,,,
Lithuania,2014,,,,
Portugal,2014,2.8,,,
Russian Federation,2014,,,,
Slovakia,2014,,,,
Slovenia,2014,,,,
Sweden,2014,,,,
El Salvador,2014,,,,
Australia,2014,,,,
New Zealand,2014,,,,
Kenya,2014,0.3,,,
Lebanon,2014,,,,
Sri Lanka,2014,,,,
Croatia,2014,,,,
Czechia,2014,,,,
Czechia,2014,,,,
Ireland,2014,,,,
Italy,2014,,,,
Latvia,2014,1.4,,,
Lithuania,2014,,,,
Norway,2014,,,,
Portugal,2014,5.5,,,
Russian Federation,2014,,,,
Slovakia,2014,,,,
Slovenia,2014,,,,
El Salvador,2014,,,,
Australia,2014,,,,
New Zealand,2014,,,,
Kenya,2014,0.3,,,
Israel,2014,,,,
Lebanon,2014,,,,
Croatia,2013,,,,
Italy,2013,,,,
Lithuania,2013,,,,
Slovakia,2013,,,,
Slovenia,2013,,,,
Sweden,2013,,,,
New Zealand,2013,,,,
Bulgaria,2013,,,,
Moldova (Republic of),2013,,,,
United Kingdom (Scotland),2013,,,,
Indonesia,2013,,,,
Bulgaria,2013,,,,
Moldova (Republic of),2013,,,,
United Kingdom (Scotland),2013,,,,
Indonesia,2013,,,,
Czechia,2012,,,,
Czechia,2012,,,,
Spain,2012,,,,
Argentina,2012,,,,
Chile,2012,,,,
Australia,2012,,,,
Israel,2012,,,,
Czechia,2012,,,,
Czechia,2012,,,,
Spain,2012,,,,
Argentina,2012,10,,,
Chile,2012,,,,
Australia,2012,,,,
Israel,2012,,,,
Czechia,2012,,,,
Czechia,2012,,,,
Spain,2012,,,,
Argentina,2012,10,,,
Chile,2012,,,,
Mexico,2012,,,,
Australia,2012,,,,
Israel,2012,,,,
Pakistan,2012,,,,
Bosnia and Herzegovina,2011,,,,
Germany,2011,,,,
Ireland,2011,20.3,,,
Lithuania,2011,,,,
Romania,2011,0.1,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Canada,2011,,,,
Malaysia,2011,,,,
Myanmar,2011,,,,
Bosnia and Herzegovina,2011,,,,
Germany,2011,,,,
Ireland,2011,20.3,,,
Lithuania,2011,,,,
Romania,2011,0.1,,,
Spain,2011,33.2,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Malaysia,2011,,,,
Myanmar,2011,,,,
Bosnia and Herzegovina,2011,,,,
Bosnia and Herzegovina,2011,,,,
Ireland,2011,20.3,,,
Lithuania,2011,,,,
Romania,2011,0.1,,,
Spain,2011,33.2,,,
Spain,2011,,,,
United Kingdom (Scotland),2011,,,,
Malaysia,2011,,,,
Myanmar,2011,,,,
